policy_no,certi_no,year,保险合同收入_预期赔付与费用_含亏损,保险合同收入_预期赔付与费用_亏损分摊,保险合同收入_预期释放的非金融风险调整_含亏损,保险合同收入_预期释放的非金融风险调整_亏损分摊,保险合同收入_摊销的CSM,保险合同收入_摊销的IACF,保险合同收入_经验调整,保险合同收入_分解的投资成分,赔付与费用_亏损分摊_预期现金流,赔付与费用_摊销的IACF,亏损合同损益_新增合同预期现金流_赔付与费用现金流_亏损,IFIE_P&L_未到期_预期现金流_非亏损,IFIE_P&L_未到期_预期现金流_亏损,IFIE_P&L_未到期_非金融风险调整_非亏损,IFIE_P&L_未到期_非金融风险调整_亏损,IFIE_P&L_未到期_CSM,IFIE_OCI_预期现金流_非亏损,IFIE_OCI_预期现金流_亏损,IFIE_OCI_非金融风险调整_非亏损,IFIE_OCI_非金融风险调整_亏损,未到期责任负债_CSM,未到期责任负债_预期现金流_非亏损,未到期责任负债_非金融风险调整,未到期责任负债_总额
1WGL2022022230422951,,2022,38.2521621222338,0.0,1.147564863667014,0.0,0.5237113571611145,23.21340212042179,-1.8189894035458565e-14,0.0,-0.0,-23.21340212042179,59.663434777236496,2.9785458469020663,0.0,0.08935637540706198,0.0,0.0,0.3405121933702218,0.0,0.010215365801106654,0.0,-2.5413429318651515,165.8683627421846,4.976050882265538,168.30307069258498
1WGL2022022230422951,,2023,39.668918060541415,0.0,1.1900675418162425,0.0,-24.53722795826289,27.15670440369857,0.0,0.0,0.0,-27.15670440369857,0.0,-36.87742245465833,-0.0,-1.1063226736397498,-0.0,-1.316764643206899,0.7030861325404081,0.0,0.02109258397621224,0.0,77.24184910697002,122.52814216552993,3.675844264965898,203.44583553746585
1WGL2022022230422951,,2024,39.64147901306105,0.0,1.1892443703918316,0.0,-36.953446107923874,27.231106333571717,0.0,0.0,0.0,-27.231106333571717,0.0,-37.53154613381766,-0.0,-1.1259463840145298,-0.0,-1.9280940770168264,1.3949864402512244,0.0,0.04184959320753673,0.0,79.05614290301747,85.68849633857543,2.570654890157263,167.31529413175016
1440003000004501220210000010,,2021,107352.01328905519,0.0,3220.5603986716555,0.0,-81629.06333353111,33412.65699080267,-9.313225746154786e-11,0.0,-0.0,-33412.65699080267,0.0,9227.205748194554,0.0,276.8161724458366,0.0,-5762.5657158215145,14757.416371323776,0.0,442.72249113971327,0.0,338678.15923482727,861439.970793076,25843.199123792278,1225961.3291516956
1440003000004501220210000010,,2022,105221.97571874247,0.0,3156.659271562274,0.0,-49056.32049590801,15398.50985055931,0.0,0.0,0.0,-15398.50985055931,0.0,-84551.0047138858,-0.0,-2536.530141416574,-0.0,-10192.230243923155,14837.436622891943,0.0,445.1230986867583,0.0,392584.96484533505,768669.0749305834,23060.072247917502,1184314.112023836
1440003000004501220210000010,,2023,100801.44394294886,0.0,3024.043318288466,0.0,-64385.119897434044,15398.50985055931,0.0,0.0,0.0,-15398.50985055931,0.0,-82378.12782949391,-0.0,-2471.343834884817,-0.0,-12487.032724943614,18113.68387068691,0.0,543.4105161206072,0.0,450872.2368707984,658483.7157326295,19754.511471978887,1129110.4640754068
1440003000004501220210000010,,2024,100750.77714536036,0.0,3022.523314360811,0.0,-76691.69278889641,15440.697548780021,0.0,0.0,0.0,-15440.697548780021,0.0,-83805.50709309155,-0.0,-2514.165212792747,-0.0,-14773.683299369304,31980.50248151871,0.0,959.4150744455613,0.0,458892.91586798674,588545.0272459141,17656.350817377424,1065094.2939312784
1440003000004501220210000007,,2021,16671.093946593133,0.0,500.1328183977939,0.0,-7050.386810106308,5586.939774144149,0.0,0.0,-0.0,-5586.939774144149,0.0,1432.9271448174945,0.0,42.987814344524836,0.0,-632.3599340124638,2291.7341482259167,0.0,68.7520244467775,0.0,37979.624685261195,133776.22125980165,4013.2866377940495,175769.1325828569
1440003000004501220210000007,,2022,16340.3124795624,0.0,490.209374386872,0.0,-5942.278829810954,3343.0049468239577,0.0,0.0,0.0,-3343.0049468239577,0.0,-13130.240408893542,-0.0,-393.90721226680625,-0.0,-1110.4270809335558,2304.1607911052724,0.0,69.12482373315817,0.0,47554.510854459724,119369.48334172572,3581.0845002517713,170505.0786964372
1440003000004501220210000007,,2023,15653.83163704923,0.0,469.61494911147696,0.0,-8266.778891925049,3343.0049468239577,0.0,0.0,0.0,-3343.0049468239577,0.0,-12792.806265236257,-0.0,-383.78418795708774,-0.0,-1491.274205433009,2812.9414276937205,0.0,84.38824283081162,0.0,57890.10095276829,102258.38855692511,3067.751656707753,163216.24116640116
1440003000004501220210000007,,2024,15645.963401357216,0.0,469.37890204071647,0.0,-10110.502353234635,3352.1638644864893,0.0,0.0,0.0,-3352.1638644864893,0.0,-13014.46930696034,-0.0,-390.4340792088102,-0.0,-1856.6301772185552,4966.371332907356,0.0,148.99113998722066,0.0,60497.26817919085,91397.34915448647,2741.920474634594,154636.5378083119
1440003000004501220210000006,,2021,29134.123660421894,0.0,874.0237098126568,0.0,-24871.806688160963,8829.836923524545,0.0,0.0,-0.0,-8829.836923524545,0.0,4780.490650402031,0.0,143.4147195120609,0.0,-3479.7583266273655,11002.506323736601,0.0,330.07518971209805,0.0,199883.6057079881,392194.8857045797,11765.84657113739,603844.3379837052
1440003000004501220210000006,,2022,28538.24230823457,0.0,856.1472692470371,0.0,-13430.141229506084,4207.428821261696,0.0,0.0,0.0,-4207.428821261696,0.0,-18345.301942539736,-0.0,-550.3590582761921,-0.0,-5830.759011391016,12289.498463434453,0.0,368.68495390303354,0.0,213079.3092056705,371399.79998878227,11141.993999663468,595621.1031941161
1440003000004501220210000006,,2023,27362.66849985805,0.0,820.8800549957415,0.0,-15549.847286063014,4207.428821261696,0.0,0.0,0.0,-4207.428821261696,0.0,-18266.50532067627,-0.0,-547.9951596202882,-0.0,-6743.627018785551,18476.444129070558,0.0,554.2933238721167,0.0,231160.1955456929,344512.6933814824,10335.380801444471,586008.2697286197
1440003000004501220210000006,,2024,27346.076205561014,0.0,820.3822861668305,0.0,-16055.474442958666,4218.956023511728,0.0,0.0,-0.0,-4218.956023511728,0.0,-18130.614591629106,-0.0,-543.9184377488731,-0.0,-7484.758425142908,37227.41070611623,0.0,1116.822321183487,0.0,221969.1275447291,345133.0453646304,10353.991360938911,577456.1642702984
1440003000004501220200000006,,2020,6011.310146284204,0.0,180.33930438852613,0.0,-1479.6278713667189,1239.14642954662,0.0,0.0,-0.0,-1239.14642954662,0.0,318.0224405171213,0.0,9.540673215513639,0.0,-175.52685611804324,393.08340042043307,0.0,11.792502012612992,0.0,24604.891644980835,87263.7952854552,2617.913858563656,114486.6007889997
1440003000004501220200000006,,2021,10425.449765410565,0.0,312.76349296231695,0.0,-3099.686406708411,2123.4199379554757,0.0,0.0,0.0,-2123.4199379554757,0.0,-8203.142905649867,-0.0,-246.09428716949603,-0.0,-683.1216911494838,1864.9651648780628,0.0,55.948954946341885,0.0,26980.01017565102,82472.1120392261,2474.163361176783,111926.2855760539
1440003000004501220200000006,,2022,10317.164927509752,0.0,309.51494782529255,0.0,-4245.3825001958985,2123.4199379554757,0.0,0.0,0.0,-2123.4199379554757,0.0,-8215.896501363746,-0.0,-246.47689504091235,-0.0,-841.0432916059168,1739.8212615789105,0.0,52.19463784736732,0.0,32706.892028906484,73340.89097738064,2200.226729321419,108248.00973560855
1440003000004501220200000006,,2023,9882.827830524928,0.0,296.48483491574785,0.0,-5782.469826291501,2123.4199379554757,0.0,0.0,0.0,-2123.4199379554757,0.0,-7994.183896635016,-0.0,-239.82551689905048,-0.0,-1013.7971280840667,1858.3101470689892,0.0,55.74930441206968,0.0,38766.31141078165,62512.798897298046,1875.3839669189413,103154.49427499864
